"Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11"
"Frequency: Annual"
"Table: 38-10-0097-01 (formerly CANSIM 153-0114)"
"Release date: 2023-12-20"
"Geography: Canada, Province or territory"
""
""

"Geography","Sector","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","68,701","68,296","68,039","71,255","72,902","75,022","76,881","73,512","76,033","77,052","74,758","65,061","67,107"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-647","-867","-762","-1,391","-2,009","-1,770","-1,916","-395","-1,404","-1,691","-848","-1,190","-1,994"
"Alberta","Total, industries and households","250,456","259,155","269,145","276,762","285,303","290,011","287,853","270,302","278,551","282,438","282,957","261,640","265,270"
,"Total, industries","231,708","240,824","250,915","258,124","265,387","269,970","269,099","251,288","258,619","261,764","262,314","243,757","247,818"
,"Total, households","18,748","18,331","18,230","18,638","19,916","20,041","18,754","19,014","19,932","20,673","20,643","17,883","17,452"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","244,351","253,266","261,767","270,752","276,952","280,329","281,345","267,012","273,112","273,665","274,846","254,231","256,149"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-6,105","-5,889","-7,378","-6,010","-8,351","-9,682","-6,508","-3,291","-5,438","-8,773","-8,111","-7,409","-9,121"
"British Columbia","Total, industries and households","75,668","79,146","77,799","78,678","79,717","80,416","81,233","81,333","82,643","83,426","81,491","72,540","75,003"
,"Total, industries","62,635","65,876","64,753","65,827","66,406","67,350","67,998","67,409","67,915","68,789","66,869","59,295","61,410"
,"Total, households","13,033","13,270","13,046","12,851","13,311","13,066","13,236","13,924","14,728","14,637","14,622","13,245","13,592"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","58,296","58,356","57,681","57,684","58,835","58,420","58,306","60,741","61,693","63,627","62,522","58,799","59,436"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-17,371","-20,790","-20,118","-20,994","-20,882","-21,996","-22,927","-20,593","-20,951","-19,799","-18,969","-13,741","-15,566"
"Yukon","Total, industries and households","587","661","706","709","632","488","520","521","551","618","659","567","620"
,"Total, industries","445","510","550","560","484","361","391","393","412","471","499","427","494"
,"Total, households","142","152","156","149","148","127","130","129","139","147","160","140","125"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","577","646","684","678","600","501","530","528","564","644","691","596","650"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-10","-15","-22","-31","-32","13","10","7","12","26","32","29","30"
"Northwest Territories","Total, industries and households","1,894","1,932","2,051","2,054","2,020","2,075","2,083","1,791","1,992","1,971","1,919","1,544","1,675"
,"Total, industries","1,701","1,768","1,866","1,896","1,868","1,897","1,904","1,638","1,859","1,830","1,772","1,416","1,550"
,"Total, households","193","165","185","158","152","178","179","153","133","140","146","128","124"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","1,469","1,491","1,485","1,571","1,576","1,542","1,574","1,327","1,404","1,438","1,402","1,213","1,287"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-426","-442","-567","-483","-444","-533","-509","-465","-588","-533","-517","-331","-388"
"Nunavut","Total, industries and households","437","462","455","516","648","668","652","685","707","762","944","850","738"
,"Total, industries","412","437","428","488","614","605","559","622","651","716","904","817","702"
,"Total, households","24","25","27","28","33","63","92","63","56","46","41","33","36"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","596","600","626","668","693","687","633","739","743","736","753","590","626"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","159","138","171","152","45","18","-19","54","35","-27","-191","-260","-112"


"Table Corrections:"
Date,Note
"2023-02-28","On February 28, 2023, a correction was made to some balancing items (biomass, motor fuels, synthetic fluorinated gases and non-energy products from fuels and solvent use) for some provinces and territories (Newfoundland and Labrador, Nova Scotia, Quebec, Manitoba, Saskatchewan, Alberta, British Columbia, Yukon and Nunavut) for years 2009 to 2020."



Footnotes:
1,"Data source: Statistics Canada, Environment Accounts and Statistics Division.
"
2,"Carbon dioxide equivalent emissions are estimated using global warming potentials for methane and nitrous oxide of 25 and 298 respectively."
3,"Emission sources included in these estimates: combustion of fossil fuels and biomass; non-combustion uses of fossil fuels; industrial processes; agricultural soils; livestock manure and enteric fermentation."
4,"The supply and use tables are built around three classification systems, namely the Input-Output Industry Classification (IOIC) for industries, the Supply and Use Product Classification (SUPC) for products (goods and services), and the Input-Output Final Demand Classification (IOFDC) for final demand categories. The Input-Output Industry Classification (IOIC) is based on the North American Industry Classification System (NAICS) and the Supply and Use Product Classification (SUPC) is based on the North American Products Classification System (NAPCS). The Input-Output Final Demand Classification is based on the Classification of Individual Consumption by Purpose (COICOP) for the personal expenditure categories and the North American Industry Classification (NAICS) for the gross fixed capital formation categories.  This table is published at the link 1961 level of the supply and use tables."
5,"The alphanumeric codes appearing in square brackets beside each industry title represent the Input-Output Industry Classification (IOIC) codes. The IOIC identifies both institutional sectors and industries based on the North American Industry Classification System (NAICS). The first two characters of the IOIC alphanumeric codes represent the sector. IOIC codes beginning with a BS represent business sector industries, codes beginning with an NP represent Non-Profit Institutions Serving Household (NPISH) sector industries, and codes beginning with a GS represent government sector industries."
6,"This table replaces table 38-10-0111-01."
7,"Totals may not add due to rounding."
8,"For more information on the concepts, sources and methods, please consult the <a href="https://www150.statcan.gc.ca/n1/pub/16-509-x/2016001/29-eng.htm" rel="external noopener noreferrer" target="_blank">Greenhouse gas emissions account (opens new window)</a> Greenhouse gas emissions account</a> section of the Methodological guide: Canadian System of Environmental-Economic Accounting (<a href="https://www150.statcan.gc.ca/n1/en/catalogue/16-509-X" rel="external noopener noreferrer" target="_blank">16-509-X (opens new window))</a>."
9,"As of January 2019, in addition to national data, preliminary estimates for the greenhouse gas emissions account are available for each province and territory."
10,"Data for 2009 to 2020 were revised in December 2023.
"
11,"As of reference year 2014, the classifications of the supply and use tables have been modified to include cannabis related industries."
12,"Environment and Climate Change Canada is responsible for producing a separate set of greenhouse gas estimates:  <a href ="https://www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html" rel="external noopener noreferrer" target="_blank">Canada's official National Greenhouse Gas Inventory (opens new window)</a> and associated Report (National Inventory Report: Greenhouse Gas Sources and Sinks in Canada). Canada’s official greenhouse gas (GHG) inventory fulfills Canada's reporting obligations under the United Nations Framework Convention on Climate Change (UNFCCC), and is the official benchmark for greenhouse gas emissions in Canada."
13,"The reporting requirements of the United Nations Framework Convention on Climate Change (UNFCCC) differ from the methodological guidelines of the United Nations System of Environmental-Economic Accounting used to create this account. As such there are differences between the totals reported in the Greenhouse Gas Account and Canada's National Inventory Report on Greenhouse Gas Sources and Sinks. These differences are included with the Greenhouse Gas Account and are described in IMDB 5115.
"



"How to cite: Statistics Canada. Table 38-10-0097-01  Physical flow account for greenhouse gas emissions"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810009701
